date,location,new_cases,total_cases,new_deaths,total_deaths
2014-03-22,Guinea,49,49,29,29
2014-03-29,Guinea,37,86,14,43
2014-04-05,Guinea,31,117,10,53
2014-04-12,Guinea,22,139,9,62
2014-04-19,Guinea,20,159,6,68
2014-04-26,Guinea,24,183,8,76
2014-05-03,Guinea,14,197,7,83
2014-05-10,Guinea,12,209,5,88
2014-05-17,Guinea,17,226,8,96
2014-05-24,Guinea,20,246,7,103
2014-05-31,Guinea,19,265,10,113
2014-06-07,Guinea,22,287,9,122
2014-06-14,Guinea,30,317,14,136
2014-06-21,Guinea,35,352,15,151
2014-06-28,Guinea,28,380,11,162
2014-07-05,Guinea,40,420,18,180
2014-07-12,Guinea,32,452,14,194
2014-07-19,Guinea,24,476,12,206
2014-07-26,Guinea,31,507,16,222
2014-08-02,Guinea,36,543,15,237
2014-08-09,Guinea,45,588,22,259
2014-08-16,Guinea,39,627,20,279
2014-08-23,Guinea,53,680,26,305
2014-08-30,Guinea,48,728,23,328
2014-09-06,Guinea,62,790,30,358
2014-09-13,Guinea,71,861,34,392
2014-09-20,Guinea,68,929,31,423
2014-09-27,Guinea,80,1009,38,461
2014-10-04,Guinea,93,1102,45,506
2014-10-11,Guinea,107,1209,50,556
2014-10-18,Guinea,118,1327,55,611
2014-10-25,Guinea,105,1432,48,659
2014-11-01,Guinea,98,1530,46,705
2014-11-08,Guinea,112,1642,52,757
2014-11-15,Guinea,96,1738,44,801
2014-11-22,Guinea,88,1826,41,842
2014-11-29,Guinea,76,1902,36,878
2014-12-06,Guinea,82,1984,39,917
2014-12-13,Guinea,68,2052,32,949
2014-12-20,Guinea,72,2124,34,983
2014-12-27,Guinea,66,2190,30,1013
2015-01-03,Guinea,58,2248,27,1040
2015-01-10,Guinea,52,2300,24,1064
2015-01-17,Guinea,45,2345,21,1085
2015-01-24,Guinea,40,2385,18,1098
2015-01-31,Guinea,35,2420,16,1114
2015-02-07,Guinea,30,2450,14,1128
2015-02-14,Guinea,27,2477,12,1140
2015-02-21,Guinea,23,2500,10,1150
2015-02-28,Guinea,20,2520,9,1159
2015-03-07,Guinea,16,2536,7,1166
2015-03-14,Guinea,21,2557,10,1176
2015-03-21,Guinea,27,2584,13,1189
2015-03-28,Guinea,33,2617,16,1205
2015-04-04,Guinea,35,2652,17,1222
2015-04-11,Guinea,28,2680,13,1235
2015-04-18,Guinea,22,2702,10,1245
2015-04-25,Guinea,18,2720,8,1253
2015-05-02,Guinea,14,2734,6,1259
2015-05-09,Guinea,11,2745,5,1264
2015-05-16,Guinea,9,2754,4,1268
2015-05-23,Guinea,7,2761,3,1271
2015-05-30,Guinea,5,2766,2,1273
2015-06-06,Guinea,4,2770,2,1275
2015-06-13,Guinea,3,2773,1,1276
2015-06-20,Guinea,2,2775,1,1277
2015-06-27,Guinea,1,2776,0,1277
2015-07-04,Guinea,3,2779,1,1278
2015-07-11,Guinea,2,2781,1,1279
2015-07-18,Guinea,1,2782,0,1279
2015-07-25,Guinea,4,2786,2,1281
2015-08-01,Guinea,3,2789,1,1282
2015-08-08,Guinea,2,2791,1,1283
2015-08-15,Guinea,1,2792,0,1283
2014-03-22,Liberia,3,3,2,2
2014-03-29,Liberia,5,8,3,5
2014-04-05,Liberia,4,12,2,7
2014-04-12,Liberia,2,14,1,8
2014-04-19,Liberia,1,15,0,8
2014-04-26,Liberia,2,17,1,9
2014-05-03,Liberia,3,20,2,11
2014-05-10,Liberia,6,26,3,14
2014-05-17,Liberia,8,34,4,18
2014-05-24,Liberia,12,46,6,24
2014-05-31,Liberia,18,64,9,33
2014-06-07,Liberia,24,88,12,45
2014-06-14,Liberia,33,121,16,61
2014-06-21,Liberia,42,163,21,82
2014-06-28,Liberia,55,218,27,109
2014-07-05,Liberia,68,286,34,143
2014-07-12,Liberia,82,368,41,184
2014-07-19,Liberia,95,463,47,231
2014-07-26,Liberia,112,575,56,287
2014-08-02,Liberia,130,705,65,352
2014-08-09,Liberia,158,863,79,431
2014-08-16,Liberia,185,1048,92,523
2014-08-23,Liberia,218,1266,109,632
2014-08-30,Liberia,245,1511,122,754
2014-09-06,Liberia,290,1801,145,899
2014-09-13,Liberia,330,2131,165,1064
2014-09-20,Liberia,355,2486,177,1241
2014-09-27,Liberia,310,2796,155,1396
2014-10-04,Liberia,275,3071,137,1533
2014-10-11,Liberia,240,3311,120,1653
2014-10-18,Liberia,210,3521,105,1758
2014-10-25,Liberia,185,3706,92,1850
2014-11-01,Liberia,155,3861,77,1927
2014-11-08,Liberia,130,3991,65,1992
2014-11-15,Liberia,105,4096,52,2044
2014-11-22,Liberia,85,4181,42,2086
2014-11-29,Liberia,68,4249,34,2120
2014-12-06,Liberia,52,4301,26,2146
2014-12-13,Liberia,38,4339,19,2165
2014-12-20,Liberia,28,4367,14,2179
2014-12-27,Liberia,20,4387,10,2189
2015-01-03,Liberia,15,4402,7,2196
2015-01-10,Liberia,10,4412,5,2201
2015-01-17,Liberia,6,4418,3,2204
2015-01-24,Liberia,4,4422,2,2206
2015-01-31,Liberia,2,4424,1,2207
2015-02-07,Liberia,3,4427,1,2208
2015-02-14,Liberia,5,4432,2,2210
2015-02-21,Liberia,3,4435,1,2211
2015-02-28,Liberia,1,4436,0,2211
2015-03-07,Liberia,2,4438,1,2212
2015-03-14,Liberia,1,4439,0,2212
2015-03-21,Liberia,0,4439,0,2212
2015-03-28,Liberia,3,4442,1,2213
2015-04-04,Liberia,1,4443,0,2213
2015-04-11,Liberia,2,4445,1,2214
2015-04-18,Liberia,0,4445,0,2214
2014-03-22,Sierra Leone,0,0,0,0
2014-03-29,Sierra Leone,0,0,0,0
2014-04-05,Sierra Leone,0,0,0,0
2014-04-12,Sierra Leone,0,0,0,0
2014-04-19,Sierra Leone,0,0,0,0
2014-04-26,Sierra Leone,0,0,0,0
2014-05-03,Sierra Leone,0,0,0,0
2014-05-10,Sierra Leone,0,0,0,0
2014-05-17,Sierra Leone,0,0,0,0
2014-05-24,Sierra Leone,6,6,3,3
2014-05-31,Sierra Leone,16,22,8,11
2014-06-07,Sierra Leone,28,50,14,25
2014-06-14,Sierra Leone,42,92,21,46
2014-06-21,Sierra Leone,79,171,39,85
2014-06-28,Sierra Leone,95,266,47,132
2014-07-05,Sierra Leone,108,374,54,186
2014-07-12,Sierra Leone,125,499,62,248
2014-07-19,Sierra Leone,140,639,70,318
2014-07-26,Sierra Leone,160,799,80,398
2014-08-02,Sierra Leone,185,984,92,490
2014-08-09,Sierra Leone,215,1199,107,597
2014-08-16,Sierra Leone,250,1449,125,722
2014-08-23,Sierra Leone,290,1739,145,867
2014-08-30,Sierra Leone,335,2074,167,1034
2014-09-06,Sierra Leone,385,2459,192,1226
2014-09-13,Sierra Leone,440,2899,220,1446
2014-09-20,Sierra Leone,490,3389,245,1691
2014-09-27,Sierra Leone,530,3919,265,1956
2014-10-04,Sierra Leone,575,4494,287,2243
2014-10-11,Sierra Leone,620,5114,310,2553
2014-10-18,Sierra Leone,660,5774,330,2883
2014-10-25,Sierra Leone,710,6484,355,3238
2014-11-01,Sierra Leone,740,7224,370,3608
2014-11-08,Sierra Leone,780,8004,390,3998
2014-11-15,Sierra Leone,810,8814,405,4403
2014-11-22,Sierra Leone,820,9634,410,4813
2014-11-29,Sierra Leone,790,10424,395,5208
2014-12-06,Sierra Leone,750,11174,375,5583
2014-12-13,Sierra Leone,680,11854,340,5923
2014-12-20,Sierra Leone,600,12454,300,6223
2014-12-27,Sierra Leone,510,12964,255,6478
2015-01-03,Sierra Leone,430,13394,215,6693
2015-01-10,Sierra Leone,350,13744,175,6868
2015-01-17,Sierra Leone,280,14024,140,7008
2015-01-24,Sierra Leone,220,14244,110,7118
2015-01-31,Sierra Leone,170,14414,85,7203
2015-02-07,Sierra Leone,130,14544,65,7268
2015-02-14,Sierra Leone,100,14644,50,7318
2015-02-21,Sierra Leone,80,14724,40,7358
2015-02-28,Sierra Leone,55,14779,27,7385
2015-03-07,Sierra Leone,40,14819,20,7405
2015-03-14,Sierra Leone,30,14849,15,7420
2015-03-21,Sierra Leone,22,14871,11,7431
2015-03-28,Sierra Leone,18,14889,9,7440
2015-04-04,Sierra Leone,12,14901,6,7446
2015-04-11,Sierra Leone,8,14909,4,7450
2015-04-18,Sierra Leone,5,14914,2,7452
2015-04-25,Sierra Leone,3,14917,1,7453
2015-05-02,Sierra Leone,4,14921,2,7455
2015-05-09,Sierra Leone,2,14923,1,7456
2015-05-16,Sierra Leone,1,14924,0,7456
2015-05-23,Sierra Leone,2,14926,1,7457
2015-05-30,Sierra Leone,1,14927,0,7457
2015-06-06,Sierra Leone,3,14930,1,7458
2015-06-13,Sierra Leone,1,14931,0,7458
2015-06-20,Sierra Leone,0,14931,0,7458
